Date,unemp_rate
2014-01-01,7.0
2014-02-01,7.0
2014-03-01,6.8
2014-04-01,5.9
2014-05-01,6.1
2014-06-01,6.3
2014-07-01,6.5
2014-08-01,6.3
2014-09-01,5.7
2014-10-01,5.5
2014-11-01,5.5
2014-12-01,5.4
2015-01-01,6.1
2015-02-01,5.8
2015-03-01,5.6
2015-04-01,5.1
2015-05-01,5.3
2015-06-01,5.5
2015-07-01,5.6
2015-08-01,5.2
2015-09-01,4.9
2015-10-01,4.8
2015-11-01,4.8
2015-12-01,4.8
2016-01-01,5.3
2016-02-01,5.2
2016-03-01,5.1
2016-04-01,4.7
2016-05-01,4.5
2016-06-01,5.1
2016-07-01,5.1
2016-08-01,5.0
2016-09-01,4.8
2016-10-01,4.7
2016-11-01,4.4
2016-12-01,4.5
2017-01-01,5.1
2017-02-01,4.9
2017-03-01,4.6
2017-04-01,4.1
2017-05-01,4.1
2017-06-01,4.5
2017-07-01,4.6
2017-08-01,4.5
2017-09-01,4.1
2017-10-01,3.9
2017-11-01,3.9
2017-12-01,3.9
2018-01-01,4.5
2018-02-01,4.4
2018-03-01,4.1
2018-04-01,3.7
2018-05-01,3.6
2018-06-01,4.2
2018-07-01,4.1
2018-08-01,3.9
2018-09-01,3.6
2018-10-01,3.5
2018-11-01,3.5
2018-12-01,3.7
2019-01-01,4.4
2019-02-01,4.1
2019-03-01,3.9
2019-04-01,3.3
2019-05-01,3.4
2019-06-01,3.8
2019-07-01,4.0
2019-08-01,3.8
2019-09-01,3.3
2019-10-01,3.3
2019-11-01,3.3
2019-12-01,3.4
