date,cpi
2010-01-31,216.687
2010-02-28,216.741
2010-03-31,217.631
2010-04-30,218.009
2010-05-31,218.178
2010-06-30,217.965
2010-07-31,218.011
2010-08-31,218.312
2010-09-30,218.439
2010-10-31,218.711
2010-11-30,218.803
2010-12-31,219.179
2011-01-31,220.223
2011-02-28,221.309
2011-03-31,223.467
2011-04-30,224.906
2011-05-31,225.964
2011-06-30,225.722
2011-07-31,225.922
2011-08-31,226.545
2011-09-30,226.889
2011-10-31,226.421
2011-11-30,226.23
2011-12-31,225.672
2012-01-31,226.665
2012-02-29,227.663
2012-03-31,229.392
2012-04-30,230.085
2012-05-31,229.815
2012-06-30,229.478
2012-07-31,229.104
2012-08-31,230.379
2012-09-30,231.407
2012-10-31,231.317
2012-11-30,230.221
2012-12-31,229.601
2013-01-31,230.28
2013-02-28,232.166
2013-03-31,232.773
2013-04-30,232.531
2013-05-31,232.945
2013-06-30,233.504
2013-07-31,233.596
2013-08-31,233.877
2013-09-30,234.149
2013-10-31,233.546
2013-11-30,233.069
2013-12-31,233.049
2014-01-31,233.916
2014-02-28,234.781
2014-03-31,236.293
2014-04-30,237.072
2014-05-31,237.9
2014-06-30,238.343
2014-07-31,238.25
2014-08-31,237.852
2014-09-30,238.031
2014-10-31,237.433
2014-11-30,236.151
2014-12-31,234.812
2015-01-31,233.707
2015-02-28,234.722
2015-03-31,236.119
2015-04-30,236.599
2015-05-31,237.805
2015-06-30,238.638
2015-07-31,238.654
2015-08-31,238.316
2015-09-30,237.945
2015-10-31,237.838
2015-11-30,237.336
2015-12-31,236.525
2016-01-31,236.916
2016-02-29,237.111
2016-03-31,238.132
2016-04-30,239.261
2016-05-31,240.229
2016-06-30,241.018
2016-07-31,240.628
2016-08-31,240.849
2016-09-30,241.428
2016-10-31,241.729
2016-11-30,241.353
2016-12-31,241.432
2017-01-31,242.839
2017-02-28,243.603
2017-03-31,243.801
2017-04-30,244.524
2017-05-31,244.733
2017-06-30,244.955
2017-07-31,244.786
2017-08-31,245.519
2017-09-30,246.819
2017-10-31,246.663
2017-11-30,246.669
2017-12-31,246.524
2018-01-31,247.867
2018-02-28,248.991
2018-03-31,249.554
2018-04-30,250.546
2018-05-31,251.588
2018-06-30,251.989
2018-07-31,252.006
2018-08-31,252.146
2018-09-30,252.439
2018-10-31,252.885
2018-11-30,252.038
2018-12-31,251.233
2019-01-31,251.712
2019-02-28,252.776
2019-03-31,254.202
2019-04-30,255.548
2019-05-31,256.092
2019-06-30,256.143
2019-07-31,256.571
2019-08-31,256.558
2019-09-30,256.759
2019-10-31,257.346
2019-11-30,257.208
2019-12-31,256.974
2020-01-31,257.971
2020-02-29,258.678
2020-03-31,258.115
2020-04-30,256.389
2020-05-31,256.394
2020-06-30,257.797
2020-07-31,259.101
2020-08-31,259.918
2020-09-30,260.28
2020-10-31,260.388
2020-11-30,260.229
2020-12-31,260.474
2021-01-31,261.582
2021-02-28,263.014
2021-03-31,264.877
2021-04-30,267.054
2021-05-31,269.195
2021-06-30,271.696
2021-07-31,273.003
2021-08-31,273.567
2021-09-30,274.31
2021-10-31,276.589
2021-11-30,277.948
2021-12-31,278.802
2022-01-31,281.148
2022-02-28,283.716
2022-03-31,287.504
2022-04-30,289.109
2022-05-31,292.296
2022-06-30,296.311
2022-07-31,296.276
2022-08-31,296.171
2022-09-30,296.808
2022-10-31,298.012
2022-11-30,297.711
2022-12-31,296.797
2023-01-31,299.17
2023-02-28,300.84
2023-03-31,301.836
2023-04-30,303.363
2023-05-31,304.127
2023-06-30,305.109
2023-07-31,305.691
2023-08-31,307.026
2023-09-30,307.789
