Date,price
2000-01-31,283.3
2000-02-29,293.65
2000-03-31,276.75
2000-04-30,275.05
2000-05-31,272.25
2000-06-30,288.15
2000-07-31,276.75
2000-08-31,277.0
2000-09-30,273.65
2000-10-31,264.5
2000-11-30,269.1
2000-12-31,274.45
2001-01-31,264.5
2001-02-28,266.7
2001-03-31,257.7
2001-04-30,263.15
2001-05-31,267.5
2001-06-30,270.6
2001-07-31,265.9
2001-08-31,273.0
2001-09-30,293.1
2001-10-31,278.75
2001-11-30,275.5
2001-12-31,276.5
2002-01-31,282.3
2002-02-28,296.85
2002-03-31,301.4
2002-04-30,308.2
2002-05-31,326.6
2002-06-30,318.5
2002-07-31,304.65
2002-08-31,312.8
2002-09-30,323.7
2002-10-31,316.9
2002-11-30,319.05
2002-12-31,347.2
2003-01-31,367.5
2003-02-28,347.45
2003-03-31,334.85
2003-04-30,336.75
2003-05-31,361.4
2003-06-30,346.0
2003-07-31,354.75
2003-08-31,375.6
2003-09-30,388.0
2003-10-31,386.25
2003-11-30,398.35
2003-12-31,416.25
2004-01-31,399.75
2004-02-29,395.85
2004-03-31,423.7
2004-04-30,388.5
2004-05-31,393.25
2004-06-30,395.8
2004-07-31,391.4
2004-08-31,407.25
2004-09-30,415.65
2004-10-31,425.55
2004-11-30,453.4
2004-12-31,435.6
2005-01-31,422.15
2005-02-28,435.45
2005-03-31,427.5
2005-04-30,435.7
2005-05-31,414.45
2005-06-30,437.1
2005-07-31,429.0
2005-08-31,433.25
2005-09-30,473.25
2005-10-31,470.75
2005-11-30,495.65
2005-12-31,513.0
2006-01-31,568.75
2006-02-28,556.0
2006-03-31,582.0
2006-04-30,644.0
2006-05-31,653.0
2006-06-30,613.5
2006-07-31,632.5
2006-08-31,623.5
2006-09-30,599.25
2006-10-31,603.75
2006-11-30,646.7
2006-12-31,632.0
2007-01-31,650.5
2007-02-28,664.2
2007-03-31,661.75
2007-04-30,677.0
2007-05-31,659.1
2007-06-30,650.5
2007-07-31,665.5
2007-08-31,672.0
2007-09-30,743.0
2007-10-31,789.5
2007-11-30,783.5
2007-12-31,833.75
2008-01-31,923.25
2008-02-29,971.5
2008-03-31,933.5
2008-04-30,871.0
2008-05-31,885.75
2008-06-30,930.25
2008-07-31,918.0
2008-08-31,833.0
2008-09-30,884.5
2008-10-31,730.75
2008-11-30,814.5
2008-12-31,869.75
2009-01-31,919.5
2009-02-28,952.0
2009-03-31,916.5
2009-04-30,883.25
2009-05-31,975.5
2009-06-30,934.5
2009-07-31,939.0
2009-08-31,955.5
2009-09-30,995.75
2009-10-31,1040.0
2009-11-30,1175.75
2009-12-31,1087.5
2010-01-31,1078.5
2010-02-28,1108.25
2010-03-31,1115.5
2010-04-30,1179.25
2010-05-31,1207.5
2010-06-30,1244.0
2010-07-31,1169.0
2010-08-31,1246.0
2010-09-30,1307.0
2010-10-31,1346.75
2010-11-30,1383.5
2010-12-31,1405.5
